Precio,Cambio,Potencia,Año,kilometraje,Diésel,Eléctrico,Gasolina,Hybrid
9990,0,90,2018,65713,True,False,False,False
12990,1,90,2016,63322,True,False,False,False
19990,1,160,2017,157170,True,False,False,False
9900,0,90,2017,150000,True,False,False,False
2700,1,140,2006,213000,True,False,False,False
19990,1,160,2017,157170,True,False,False,False
1500,0,65,2002,140000,True,False,False,False
2750,0,65,2006,270000,True,False,False,False
21217,0,140,2019,27853,False,False,True,False
17050,1,120,2015,22228,False,False,True,False
18803,0,110,2018,82955,True,False,False,False
18880,0,120,2019,68600,True,False,False,False
14990,0,130,2015,155171,True,False,False,False
18800,1,130,2018,44009,False,False,True,False
8499,0,110,2014,156038,True,False,False,False
8999,0,90,2017,195000,True,False,False,False
15490,1,120,2018,90520,False,False,True,False
8990,0,75,2015,116961,True,False,False,False
12980,0,130,2014,85423,True,False,False,False
4990,0,90,2012,215230,True,False,False,False
20458,1,130,2018,78265,False,False,True,False
24950,1,160,2019,15454,False,False,True,False
11490,0,110,2015,114243,True,False,False,False
1500,0,65,1999,188000,True,False,False,False
17790,0,140,2019,86031,False,False,True,False
17790,0,140,2019,86031,False,False,True,False
12690,0,90,2019,136304,True,False,False,False
12690,0,90,2019,136304,True,False,False,False
10490,0,70,2018,63627,False,False,True,False
15525,0,90,2018,26290,False,False,True,False
15525,0,90,2018,26290,False,False,True,False
22900,0,125,2018,46852,True,False,False,False
22900,0,125,2018,46852,True,False,False,False
22900,0,125,2018,46852,True,False,False,False
22900,0,125,2018,46852,True,False,False,False
14875,0,120,2017,87850,False,False,True,False
1500,0,120,2003,160000,True,False,False,False
21263,0,90,2021,16737,False,False,True,False
4500,0,130,2006,174600,True,False,False,False
18800,1,130,2018,44009,False,False,True,False
20900,0,115,2020,53924,True,False,False,False
17710,0,110,2018,87234,True,False,False,False
13900,0,110,2015,65609,True,False,False,False
13900,0,110,2015,65609,True,False,False,False
10990,1,110,2014,79686,True,False,False,False
12990,0,90,2019,6961,False,False,True,False
